ticker,company_name,fiscal_year,revenue,net_income,operating_income,accounts_receivable,filing_date,period_end,operating_margin_pct,net_margin_pct,prior_revenue,prior_receivables,prior_operating_margin_pct,revenue_growth_pct,receivables_growth_pct,prior_revenue_growth_pct,margin_contraction_flag,growth_deceleration_flag,receivables_warning_flag,flag_count,health_status
AAPL,Apple Inc.,2021,260174000000.0000,55256000000.0000,63930000000.0000,16120000000.0000,2021-10-29,2020-09-26,24.5700,21.2400,,,,,,,0,0,0,0,stable
AAPL,Apple Inc.,2022,274515000000.0000,57411000000.0000,66288000000.0000,26278000000.0000,2022-10-28,2021-09-25,24.1500,20.9100,260174000000.0000,16120000000.0000,24.5720,5.5100,63.0100,,0,0,1,1,watch
AAPL,Apple Inc.,2023,365817000000.0000,94680000000.0000,108949000000.0000,28184000000.0000,2023-11-03,2022-09-24,29.7800,25.8800,274515000000.0000,26278000000.0000,24.1473,33.2600,7.2500,5.5121,0,0,0,0,stable
AAPL,Apple Inc.,2024,394328000000.0000,99803000000.0000,119437000000.0000,29508000000.0000,2024-11-01,2023-09-30,30.2900,25.3100,365817000000.0000,28184000000.0000,29.7824,7.7900,4.7000,33.2594,0,1,0,1,watch
GOOGL,Alphabet Inc.,2022,182527000000.0000,40269000000.0000,41224000000.0000,39304000000.0000,2023-02-03,2021-12-31,22.5900,22.0600,,,,,,,0,0,0,0,stable
GOOGL,Alphabet Inc.,2023,257637000000.0000,76033000000.0000,78714000000.0000,40258000000.0000,2024-01-31,2022-12-31,30.5500,29.5100,182527000000.0000,39304000000.0000,22.5852,41.1500,2.4300,,0,0,0,0,stable
GOOGL,Alphabet Inc.,2024,282836000000.0000,59972000000.0000,74842000000.0000,47964000000.0000,2025-02-05,2023-12-31,26.4600,21.2000,257637000000.0000,40258000000.0000,30.5523,9.7800,19.1400,41.1501,1,1,0,2,review
KO,COCA COLA CO,2021,37266000000.0000,8920000000.0000,10086000000.0000,3144000000.0000,2022-02-22,2020-12-31,27.0600,23.9400,,,,,,,0,0,0,0,stable
KO,COCA COLA CO,2022,33014000000.0000,7747000000.0000,8997000000.0000,3512000000.0000,2023-02-21,2021-12-31,27.2500,23.4700,37266000000.0000,3144000000.0000,27.0649,-11.4100,11.7000,,0,0,1,1,watch
KO,COCA COLA CO,2023,38655000000.0000,9771000000.0000,10308000000.0000,3487000000.0000,2024-02-20,2022-12-31,26.6700,25.2800,33014000000.0000,3512000000.0000,27.2521,17.0900,-0.7100,-11.4099,0,0,0,0,stable
KO,COCA COLA CO,2024,43004000000.0000,9542000000.0000,10909000000.0000,3410000000.0000,2025-02-20,2023-12-31,25.3700,22.1900,38655000000.0000,3487000000.0000,26.6667,11.2500,-2.2100,17.0867,0,1,0,1,watch
MSFT,MICROSOFT CORPORATION,2021,125843000000.0000,39240000000.0000,42959000000.0000,32011000000.0000,2021-07-29,2020-06-30,34.1400,31.1800,,,,,,,0,0,0,0,stable
MSFT,MICROSOFT CORPORATION,2022,143015000000.0000,44281000000.0000,52959000000.0000,38043000000.0000,2022-07-28,2021-06-30,37.0300,30.9600,125843000000.0000,32011000000.0000,34.1370,13.6500,18.8400,,0,0,0,0,stable
MSFT,MICROSOFT CORPORATION,2023,168088000000.0000,61271000000.0000,69916000000.0000,44261000000.0000,2023-07-27,2022-06-30,41.5900,36.4500,143015000000.0000,38043000000.0000,37.0304,17.5300,16.3400,13.6456,0,0,0,0,stable
MSFT,MICROSOFT CORPORATION,2024,198270000000.0000,72738000000.0000,83383000000.0000,48688000000.0000,2024-07-30,2023-06-30,42.0600,36.6900,168088000000.0000,44261000000.0000,41.5949,17.9600,10.0000,17.5317,0,0,0,0,stable
NVDA,NVIDIA CORP,2022,10918000000.0000,2796000000.0000,2846000000.0000,2429000000.0000,2022-03-18,2021-01-31,26.0700,25.6100,,,,,,,0,0,0,0,stable
NVDA,NVIDIA CORP,2023,16675000000.0000,4332000000.0000,4532000000.0000,4650000000.0000,2023-02-24,2022-01-30,27.1800,25.9800,10918000000.0000,2429000000.0000,26.0670,52.7300,91.4400,,0,0,1,1,watch
NVDA,NVIDIA CORP,2024,26914000000.0000,9752000000.0000,10041000000.0000,3827000000.0000,2024-02-21,2023-01-29,37.3100,36.2300,16675000000.0000,4650000000.0000,27.1784,61.4000,-17.7000,52.7294,0,0,0,0,stable
